price,load
7076.45,0
7146.56,0
7150.16,0
7184.94,0
7167.97,0
7173.29,0
7173.57,0
7161.03,0
7173.45,0
7155.63,0
7161.16,605
7120.74,1159
7175.52,1142
7183.04,1180
7136.44,1173
7134.28,1174
7147.12,1167
7157.14,1164
7122.59,1189
7097.33,1178
7106.99,1176
7103.2,1210
7155.33,1210
7163.19,1200
7165.96,1207
7170.55,1218
7146.24,1214
7146.77,1212
7154.64,1217
7121.36,1183
7222.21,1184
7229.96,1267
7232.95,1272
7226.43,1229
7222.0,1268
7248.6,1258
7260.99,1273
7215.6,1348
7220.22,1366
7211.2,1363
7191.77,1227
7189.69,1142
7194.04,1171
7243.37,1182
7228.2,1188
7237.14,1177
7133.34,1192
7104.52,1224
7082.9,1268
7089.1,1340
7090.0,1364
7089.72,1353
7085.71,1347
7100.71,1322
7081.0,1358
7086.8,1390
7079.49,1269
7077.34,1126
7066.43,1098
7027.55,1097
7054.72,1145
7047.96,1166
7054.42,1156
7072.71,1180
7033.59,1175
7042.5,1161
7054.99,1150
7037.94,1141
7024.37,1115
7059.4,1098
7099.98,1125
7074.61,1165
7097.84,1190
7103.04,1188
7060.33,1176
7043.38,1164
7057.35,1192
7066.98,1210
7045.83,1210
7086.18,1200
7062.3,1184
7107.74,1155
7062.16,1163
7101.94,1210
7152.93,1179
7062.97,1204
7047.53,1247
7070.79,1229
7009.23,1227
7003.11,1267
7004.61,1305
7045.51,1337
7021.97,1379
6982.39,1371
7057.38,1377
7023.99,1296
6952.82,1193
7028.05,1253
7045.27,1256
6892.4,1219
6688.66,1324
6631.85,1603
6622.29,1835
6651.87,1908
6641.92,1927
6622.67,1915
6573.15,1924
6621.24,1961
6708.96,2006
6727.4,1842
6741.16,1521
6730.01,1381
6748.23,1385
6746.86,1366
6729.58,1360
6701.9,1376
6717.66,1384
6730.47,1347
6713.67,1220
6783.0,1151
6785.93,1207
6839.0,1247
6849.77,1259
6862.05,1318
6885.26,1388
6906.09,1405
6891.29,1416
6906.56,1434
6891.1,1420
6877.56,1360
6833.22,1324
6868.7,1269
6874.82,1220
6851.45,1216
6865.31,1181
6918.18,1177
6909.29,1191
6920.0,1217
6947.34,1252
6906.38,1261
6894.12,1257
6887.89,1259
6839.39,1252
6827.82,1264
6823.7,1279
6846.14,1259
6782.14,1286
6817.77,1347
6872.04,1382
6882.53,1361
